passengers,freight,mail,passenger_miles,origin_city_name_dest_city_name
7,0,0,24591,"A Coruna, Spain - Washington, DC Total"
2005,0,0,1934825,"Abbotsford, Canada - Las Vegas, NV Total"
7,0,0,5222,"Abbotsford, Canada - Napa, CA Total"
412,0,0,455672,"Aberdeen, SD - Bullhead City, AZ Total"
27062,0,0,6954934,"Aberdeen, SD - Minneapolis, MN Total"
109,0,0,39240,"Aberdeen, SD - Waterloo, IA Total"
205,0,0,46330,"Abilene, TX - Amarillo, TX Total"
541,0,0,473916,"Abilene, TX - Bullhead City, AZ Total"
83832,4985,153,13245456,"Abilene, TX - Dallas/Fort Worth, TX Total"
142,0,0,167418,"Abilene, TX - Fresno, CA Total"
140,0,0,145600,"Abilene, TX - Green Bay, WI Total"
66,0,0,42372,"Abilene, TX - Gulfport/Biloxi, MS Total"
276,0,0,41676,"Abilene, TX - Lubbock, TX Total"
113,0,0,65766,"Abilene, TX - New Orleans, LA Total"
618,0,0,605640,"Abilene, TX - Wendover, UT Total"
123059,2561950,0,895254226,"Abu Dhabi, United Arab Emirates - Chicago, IL Total"
31505,2586775,0,254189731,"Abu Dhabi, United Arab Emirates - Dallas/Fort Worth, TX Total"
68526,6940151,0,574521984,"Abu Dhabi, United Arab Emirates - Los Angeles, CA Total"
212020,14232454,0,1455941340,"Abu Dhabi, United Arab Emirates - New York, NY Total"
344,22832,0,2366376,"Abu Dhabi, United Arab Emirates - Newark, NJ Total"
90694,2029164,0,739518876,"Abu Dhabi, United Arab Emirates - San Francisco, CA Total"
76975,4547820,0,545598800,"Abu Dhabi, United Arab Emirates - Washington, DC Total"
8,0,0,47824,"Abuja, Nigeria - Atlanta, GA Total"
11,0,0,66792,"Abuja, Nigeria - Chicago, IL Total"
7677,0,0,7308504,"Acapulco, Mexico - Houston, TX Total"
48,0,0,79488,"Acapulco, Mexico - Los Angeles, CA Total"
33,0,0,74613,"Acapulco, Mexico - New York, NY Total"
363,0,0,2061477,"Accra, Ghana - Atlanta, GA Total"
37732,1144384,1373,192848252,"Accra, Ghana - New York, NY Total"
5970,0,0,31617120,"Accra, Ghana - Washington, DC Total"
2076,569815,31290,2474592,"Adak Island, AK - Anchorage, AK Total"
8,0,0,3560,"Adak Island, AK - Unalaska, AK Total"
83621,4682555,0,601485853,"Addis Ababa, Ethiopia - Washington, DC Total"
7,0,0,10451,"Aguadilla, PR - Atlanta, GA Total"
3,0,0,6237,"Aguadilla, PR - Austin, TX Total"
6,0,0,9960,"Aguadilla, PR - Boston, MA Total"
5,0,0,10140,"Aguadilla, PR - Chicago, IL Total"
15,0,0,27045,"Aguadilla, PR - Cleveland, OH Total"
12,0,0,32088,"Aguadilla, PR - Denver, CO Total"
28505,0,0,27997754,"Aguadilla, PR - Fort Lauderdale, FL Total"
7,0,0,22085,"Aguadilla, PR - Las Vegas, NV Total"
41,0,0,136120,"Aguadilla, PR - Los Angeles, CA Total"
6,0,0,10212,"Aguadilla, PR - Nashville, TN Total"
1,0,0,1655,"Aguadilla, PR - New Orleans, LA Total"
62309,1060,0,98198984,"Aguadilla, PR - New York, NY Total"
47948,17556,0,75997580,"Aguadilla, PR - Newark, NJ Total"
63170,1227,0,71318930,"Aguadilla, PR - Orlando, FL Total"
2,0,0,6484,"Aguadilla, PR - San Diego, CA Total"
1,0,0,3566,"Aguadilla, PR - San Francisco, CA Total"
1,0,0,3674,"Aguadilla, PR - Seattle, WA Total"
2,0,0,3206,"Aguadilla, PR - White Plains, NY Total"
3,0,0,2796,"Aguascalientes, Mexico - Amarillo, TX Total"
29853,154,15,24957108,"Aguascalientes, Mexico - Dallas/Fort Worth, TX Total"
14043,0,0,10068831,"Aguascalientes, Mexico - Houston, TX Total"
20933,0,0,27066369,"Aguascalientes, Mexico - Los Angeles, CA Total"
116,0,0,146276,"Aguascalientes, Mexico - Ontario, CA Total"
31742,45826,0,239779068,"Ahmedabad, India - Newark, NJ Total"
5,100,0,1650,"Akhiok, AK - Anchorage, AK Total"
711,1565,234,60435,"Akhiok, AK - Kodiak, AK Total"
12,0,0,504,"Akhiok, AK - Larsen Bay, AK Total"
54,185,0,2106,"Akhiok, AK - Old Harbor, AK Total"
5,0,0,475,"Akhiok, AK - Ouzinkie, AK Total"
150,0,0,1350,"Akiachak, AK - Akiak, AK Total"
39,0,0,3120,"Akiachak, AK - Aniak, AK Total"
5,0,0,135,"Akiachak, AK - Atmautluak, AK Total"
2765,730,8600,41475,"Akiachak, AK - Bethel, AK Total"
6,0,0,654,"Akiachak, AK - Chefornak, AK Total"
12,0,0,1728,"Akiachak, AK - Chevak, AK Total"
3,0,0,489,"Akiachak, AK - Emmonak, AK Total"
4,0,0,644,"Akiachak, AK - Hooper Bay, AK Total"
18,0,0,4302,"Akiachak, AK - Iliamna, AK Total"
81,0,0,4698,"Akiachak, AK - Kalskag, AK Total"
3,0,0,105,"Akiachak, AK - Kasigluk, AK Total"
21,0,0,189,"Akiachak, AK - Kwethluk, AK Total"
6,0,0,552,"Akiachak, AK - Kwigillingok, AK Total"
9,0,0,612,"Akiachak, AK - Marshall, AK Total"
7,0,0,1666,"Akiachak, AK - McGrath, AK Total"
4,0,0,436,"Akiachak, AK - Mountain Village, AK Total"
8,0,0,136,"Akiachak, AK - Napaskiak, AK Total"
5,0,0,160,"Akiachak, AK - Nunapitchuk, AK Total"
28,0,0,4200,"Akiachak, AK - Scammon Bay, AK Total"
2,0,0,314,"Akiachak, AK - Sheldon Point, AK Total"
103,0,0,2266,"Akiachak, AK - Tuluksak, AK Total"
162,0,0,1458,"Akiak, AK - Akiachak, AK Total"
28,0,0,2044,"Akiak, AK - Aniak, AK Total"
6,0,0,210,"Akiak, AK - Atmautluak, AK Total"
1816,721,5902,39952,"Akiak, AK - Bethel, AK Total"
14,0,0,1414,"Akiak, AK - Holy Cross, AK Total"
25,0,0,1325,"Akiak, AK - Kalskag, AK Total"
14,0,0,616,"Akiak, AK - Kasigluk, AK Total"
6,0,0,702,"Akiak, AK - Kipnuk, AK Total"
4,0,0,1184,"Akiak, AK - Koyukuk, AK Total"
19,0,0,209,"Akiak, AK - Kwethluk, AK Total"
14,0,0,3248,"Akiak, AK - McGrath, AK Total"
14,0,0,574,"Akiak, AK - Nunapitchuk, AK Total"
